code,performanceExpPubDate,performanceExpStatDate,performanceExpUpdateDate,performanceExpressTotalAsset,performanceExpressNetAsset,performanceExpressEPSChgPct,performanceExpressROEWa,performanceExpressEPSDiluted,performanceExpressGRYOY,performanceExpressOPYOY
sh.600000,2015-01-06,2014-12-31,2015-01-06,4195602000000.000000,260011000000.000000,0.326910,21.020000,2.520000,0.228390,0.153803
sh.600000,2016-01-05,2015-12-31,2016-01-05,5043060000000.000000,285245000000.000000,0.191493,18.820000,2.660000,0.192395,0.069764
sh.600000,2017-01-04,2016-12-31,2017-01-04,5857263000000.000000,338027000000.000000,0.115412,16.350000,2.400000,0.097234,0.054384
