code,pubDate,statDate,roeAvg,npMargin,gpMargin,netProfit,epsTTM,MBRevenue,totalShare,liqaShare
sz.002072,2020-08-25,2020-06-30,0.153491,0.257608,0.875200,4003685.480000,0.161252,15541769.220000,176000000.00,152919100.00
sz.002095,2017-08-25,2017-06-30,0.016705,0.076396,0.364240,13503682.730000,0.054031,176758154.570000,252720000.00,251602512.00
sz.002095,2018-08-28,2018-06-30,0.033042,0.137795,0.402023,28138395.580000,0.131599,204159816.840000,252720000.00,251638091.00
sz.002095,2019-08-24,2019-06-30,0.021177,0.120326,0.350765,20571503.840000,0.099824,170964574.490000,252720000.00,251638091.00
sz.002095,2020-08-27,2020-06-30,0.014917,0.107239,0.338641,15987748.760000,0.119225,149085414.070000,252720000.00,251681731.00
sz.002113,2017-08-18,2017-06-30,0.017825,0.187732,0.938745,17154074.460000,0.076226,91375200.730000,754479856.00,473487292.00
sz.002113,2018-08-30,2018-06-30,0.011186,-1.237372,0.520980,30047024.800000,0.011927,287785064.880000,1532692930.00,804928397.00
sz.002113,2019-08-26,2019-06-30,0.025886,0.212151,0.376047,60197947.050000,-0.006044,283750230.190000,1532692930.00,923768017.00
sz.002113,2020-08-26,2020-06-30,0.203453,0.117628,0.275820,33272052.860000,-1.419508,282859025.450000,1532692930.00,940821726.00
sz.002131,2017-08-31,2017-06-30,0.042506,0.072283,0.174816,330930931.460000,0.110052,4555639323.040000,5607625387.00,3061324019.00
sz.002131,2018-08-29,2018-06-30,0.021505,0.026595,0.109068,174538407.770000,0.048786,6539448083.220000,5587863872.00,3385006659.00
sz.002131,2019-08-23,2019-06-30,0.030376,0.033537,0.106758,234038721.440000,-0.271353,6955761321.410000,6654848187.00,4803683191.00
sz.002131,2020-08-11,2020-06-30,0.031516,0.035685,0.082849,262509313.110000,0.050759,7337200377.700000,6754804205.00,5787341295.00
sz.002153,2017-08-24,2017-06-30,0.036444,0.149858,0.459705,182852840.130000,0.370831,1220175635.630000,1066788753.00,484463043.00
sz.002153,2018-08-30,2018-06-30,0.030625,0.165881,0.478910,208298986.280000,0.413015,1255712569.120000,1066788753.00,484456043.00
